response time,down,up
1620,28.805,25.335
1151,28.292,22.905
1534,27.768,26.43
1288,27.46,27.919
1603,29.559,20.898
1035,27.889,23.42
2642,27.853,26.363
1819,29.817,21.277
1256,29.668,23.35
1485,28.761,23.342
1145,28.046,21.302
1524,24.278,23.144
1139,25.373,23.199
1530,27.884,24.644
1158,25.462,22.634
1496,28.888,23.634
1221,11.898,17.429
1122,27.826,23.626
1196,27.148,24.088
1638,28.751,23.179
1212,30.829,17.672
1942,28.93,24.437
2228,30.293,22.773
1680,31.322,21.455
1157,31.17,20.293
1534,30.067,25.926
1176,30.705,20.435
1542,29.099,25.898
1235,30.773,20.317
2514,28.16,24.87
1237,28.002,19.531
1655,28.984,9.371
1139,27.944,20.058
1599,25.804,17.548
1372,21.62,21.125
1574,22.464,24.999
1172,23.49,21.547
1680,25.16,26.657
1250,25.72,18.487
1533,22.889,23.996
1275,23.226,14.881
1578,26.717,24.509
1251,27.201,27.641
1461,27.865,25.179
2123,28.85,23.697
1499,28.785,25.492
1200,26.594,27.474
1490,25.782,29.144
1577,28.471,24.86
2527,27.486,16.269
1141,27.786,21.192
1534,26.213,25.959
1185,30.072,21.324
1548,30.298,17.139
1247,27.835,27.272
3541,29.278,22.678
1270,30.993,24.512
1510,30.297,22.701
1200,28.802,26.161
1780,28.609,26.486
1251,27.781,26.769
1465,29.435,20.297
1237,25.641,23.568
1606,29.319,24.911
1209,27.772,22.097
1584,27.078,15.261
1231,25.161,15.757
1508,24.985,22.214
1165,26.609,19.752
1524,28.53,23.228
1525,27.853,19.459
1419,28.528,21.12
2470,30.065,18.784
1172,27,24.703
1592,27.869,24.033
1193,29.257,22.67
1598,28.8,23.801
1215,28.611,18.657
1769,28.9,21.955
1316,28.055,27.708
1505,28.474,22.942
1552,27.393,21.764
1262,25.473,24.772
1732,28.801,28.202
1092,27.969,24.16
1486,29.68,19.298
1260,26.502,23.118
1413,30.268,22.324
2135,29.189,25.318
1505,30.733,26.64
1194,28.966,24.914
1571,31.9,24.627
1267,31.501,23.14
1369,32.164,21.317
1213,29.779,22.218
1563,29.391,22.223
1528,25.647,25.817
1246,24.347,24.601
2568,27.184,25.05
1154,29.389,21.663
1332,28.029,22.284
1234,27.399,23.864
1999,27.771,26.551
1221,29.699,24.953
1526,24.102,15.821
1170,28.054,21.703
1509,27.467,26.84
1145,27.541,14.983
1546,28.708,25.016
1134,28.503,19.97
1545,29.835,25.012
1104,26.711,25.806
1935,30.246,22.104
1179,27.039,23.569
1539,28.236,25.028
1153,29.426,21.254
1520,29.793,22.617
1233,29.542,22.298
1579,27.47,27.865
2179,29.98,21.551
1636,27.774,24.364
1406,25.597,25.047
1465,29.86,21.575
1116,29.279,21.707
1593,28.933,24.139
1999,27.828,27.112
1247,31.434,21.048
1542,28.942,26.805
1146,30.232,18.111
1486,29.708,22.641
1223,32.006,19.748
2309,27.881,13.984
1228,28.548,23.096
1489,27.788,14.853
1243,28.605,21.244
1531,25.433,25.056
1235,30.306,22.68
2514,28.986,19.567
1894,28.903,24.531
1185,27.529,24.867
1532,29.398,26.129
2850,25.681,23.338
1122,27.59,28.232
1504,25.943,25.887
1277,27.251,23.741
1498,29.235,23.04
2182,28.506,22.63
1554,29.354,24.894
1160,30.756,19.991
1229,31.067,21.972
1460,30.395,20.935
1978,30.801,19.302
1504,27.772,25.496
1217,29.112,19.786
1529,28.12,26.075
1507,29.681,23.224
1342,27.25,17.661
1204,27.543,25.997
1514,30.016,24.488
1204,28.526,25.125
1433,30.531,22.492
1235,31.963,21.287
2416,29.8,25.037
1285,29.405,20.288
1464,31.419,22.311
1340,29.793,23.733
1621,28.718,23.221
1578,25.214,25.793
1180,30.4,23.76
1520,32.499,14.955
1233,28.903,22.218
1499,29.005,25.054
1274,28.463,23.812
4660,29.748,24.557
1252,29.103,22.019
1572,30.542,20.08
1330,27.483,24.353
1505,29.007,21.723
2302,28.88,23.976
1471,29.699,19.572
1190,27.982,23.004
1299,29.527,24.288
3048,27.033,19.666
2046,28.32,20.858
1076,29.613,22.725
1261,26.753,20.407
1471,27.356,20.906
1320,29.174,25.121
1503,27.215,24.866
1218,26.558,12.779
2529,28.421,23.885
1623,28.925,27.214
1134,27.928,25.369
1461,28.745,24.728
1160,28.621,27.06
1543,28.817,24.046
2444,28.793,23.053
1194,27.146,20.039
1532,27.597,20.965
1200,26.185,24.218
1495,29.544,20.338
1293,23.894,16.801
1434,25.312,14.955
1168,26.364,22.009
1548,29.438,19.042
1221,25.352,18.963
1610,28.591,19.293
1240,28.067,19.057
1438,27.762,20.307
1175,25.145,22.517
1538,27.946,20.993
3005,28.068,23.943
1135,30.027,22.024
1126,30.095,22.023
1506,28.922,24.477
1149,30.985,21.906
1512,27.302,24.136
1187,32.1,19.897
1104,27.48,20.489
4611,29.683,23.982
1454,28.711,25.425
1535,30.896,21.618
1085,28.442,22.434
1565,28.893,26.181
1364,30.111,19.369
1569,31.923,19.459
1215,29.823,25.456
1492,29.586,24.602
1168,25.951,25.758
3411,26.662,23.092
1244,29.841,23.978
1491,30.778,22.089
1303,29.834,24.196
2284,27.225,24.372
1887,27.085,14.922
1693,28.596,23.447
1134,29.761,20.104
1485,27.722,24.541
1217,31.696,21.049
1580,29.206,20.866
1172,28,24.766
1443,27.414,20.908
1067,29.221,23.299
1472,27.632,24.172
1155,29.175,28.667
1588,29.175,28.667
2243,27.691,26.596
1499,27.596,19.164
1360,28.501,20.159
1495,31.709,19.927
1232,29.504,21.827
1514,29.91,21.911
5420,31.126,23.688
1806,31.608,20.651
1352,30.396,23.344
1566,30.461,24.648
2439,28.924,20.252
1541,29.816,20.494
1372,29.316,23.443
1525,29.809,24.692
1222,29.424,23.957
3299,27.679,24.875
1184,4.383,6.522
1514,26.015,24.609
1140,26.036,22.683
1155,27.889,14.608
1558,29.03,20.414
1306,11.198,4.044
1576,8.486,3.494
1221,12.745,3.1
1592,12.031,2.862
1293,6.294,4.186
1618,12.161,3.991
1210,12.93,4.198
1727,9.912,3.318
1202,27.596,24.676
3334,26.607,19.494
1267,23.741,21.71
1388,22.013,20.287
1122,21.033,23.744
1497,27.114,15.484
1605,30.465,22.124
2493,24.563,19.973
1124,27.562,26.651
1579,29.973,21.41
1172,28.602,22.317
1122,27.061,24.762
2197,30.36,24.461
1136,26.274,24.13
1757,29.316,25.652
1183,28.579,23.062
1440,28.67,21.838
1274,29.439,22.313
1531,30.193,26.372
2247,30.205,19.572
1595,28.422,26.728
1187,28.515,23.75
1185,28.212,25.335
1576,26.492,20.717
1284,27.552,21.683
